Name,Experiences,Skills,Educations,Disqualified,Total_Experience_Years
Candidate 1,Senior Ruby at  (Jan 2024 to N/A)  | Senior Ruby at  (Jan 2021 to N/A)  | Engineering Manager at Delivery Center (Jan 2020 to Dec 2022)  | Lead Engineer at  (Jan 2019 to Dec 2020)  | Senior Software Engineer at  (Jan 2018 to Dec 2019)  | Engineering Manager at  (Jan 2017 to Dec 2018)  | Software Engineer at Snowman Labs (Jan 2017 to Dec 2017)  | Software Engineer at Esfera Tecnologia da Informação (Jan 2016 to Dec 2017)  | Software Engineer at Soluções VendaMais (Jan 2016 to Dec 2018)  | Information Technology Teacher at Pontifícia Universidade Católica do Paraná (Jan 2014 to Dec 2018)  | Video Editor at FACULDADE SÃO BRAZ (Jan 2012 to Dec 2014),['none'],Graduate Degree Artificial Intelligence at Pontifical Catholic University of Paraná (Jan 2019 to Dec 2021)  |   at Apple Developers Academy (Jan 2013 to Dec 2014)  |  Digital Games and Development at Pontifical Catholic University of Paraná (Jan 2013 to Dec 2018),No,27.08
Candidate 2,Full Stack Engineer at Tradener (Aug 2023 to Jan 2024)  | Senior Software Engineer at ArcTouch - Mobile & Connected Experiences (Feb 2021 to May 2023)  | Senior Software Engineer at CWS (Feb 2020 to Feb 2021)  | Full Stack Developer at Mercafácil (May 2019 to Aug 2019)  | Full Stack Developer at CINQ Technologies (Dec 2018 to May 2019)  | Rails Engineer at KARZEN Technologies (Oct 2018 to Dec 2018)  | Software Developer at ∞ eits (Aug 2016 to Feb 2017)  | Software Development Intern at ITAI - Instituto de Tecnologia Aplicada e Inovação (Aug 2013 to Mar 2014),['none'],"Análise E Desenvolvimento De Sistemas, Tecnologia Da Informação at Federal University of Technology – Paraná (N/A to Jan 2015)",No,5.58
Candidate 3,Software Developer at Apptegy (Feb 2021 to Jan 2024)  | Software Developer at Thincode (Mar 2019 to Feb 2021),['none'],"at Nagaoka University of Technology (Jan 2019 to Jan 2019)  |  Ingeniería Informática, Gestión De Proyectos De Tecnología De La Información at Universidad Pública de Navarra (Jan 2017 to Jan 2018)  |  Computer Systems and Artificial Intelligence at Universidad de Guanajuato (Jan 2013 to Jan 2018)",No,4.83
Candidate 4,Senior Software Engineer at Hubstaff (Jul 2024 to N/A)  | Senior Software Engineer at Mercado Livre (Apr 2022 to Jul 2024)  | Senior Software Engineer at enjoei (May 2021 to Apr 2022)  | Senior Ruby and Rails Engineer at PagSeguro PagBank (Aug 2019 to May 2021)  | Software Engineer at Locaweb (Jul 2018 to Aug 2019)  | Software Engineer at Daitan Group (May 2017 to Jul 2018)  | Rails Developer at Gympass (Nov 2016 to May 2017)  | Ruby Developer at Caiena (Jun 2015 to May 2016),['none'],Cloud Computing at Pontifical Catholic University of Minas Gerais (Jan 2021 to Jan 2022)  | Bachelor of Technology Systems Development at São Paulo State Technological College (Jan 2013 to Jan 2015),No,9.0
Candidate 5,Backend Developer at Papa John's Chile (Nov 2020 to Jun 2021)  | Backend Developer at Mercat (Nov 2020 to N/A)  | Rails Developer at Human Search (Jun 2020 to Nov 2020)  | Rails Developer at 4Talent (Mar 2019 to May 2019)  | Rails Developer at FELITECH Consulting (Nov 2017 to Feb 2019),['none'],"Ingeniería, Ingeniería Informática at Metropolitan University of Technology (Jan 2011 to Jan 2017)",No,6.5
Candidate 6,Senior Developer at FollowUP Customer Experience (Aug 2019 to N/A)  | Senior Developer at PlagLabs (Jan 2019 to Jul 2019)  | Developer at WebCarga (Aug 2015 to Jan 2019),['none'],"Bachelor of Science Ingeniería Informática at University of Holguín (Jan 2009 to Jan 2014)  | Certificate (Advanced Level) Examination ,Sri Lanka Year 2007, Mathematica at Galahitiyawa Central College (Jan 1996 to Jan 2005)",No,9.25
Candidate 7,Business Development Representative at Smith.ai (May 2023 to N/A)  | Advisorist at  (Oct 2022 to Mar 2023)  | Inside Sales Executive at Dental Departures (Worldwide) (Sep 2021 to Mar 2022)  | Property Manager Assistant at TrustHome Properties (Oct 2020 to N/A)  | Customer Service Representative at TUI (Jul 2018 to Jan 2021)  | Marketing Executive at Paris Smith (Jan 2016 to Dec 2017)  | Personal Assistant at Orangetheory Fitness (Jan 2015 to Dec 2015),['administration'],Bachelor of Arts Sport and Social at University of Bath (N/A to Dec 2014),No,11.5
Candidate 8,Social Media Manager at Regional Subdustribution coordinato (Jan 2021 to Dec 2022)  | Community Manager Junior at Tiburonzzito (Jan 2019 to Dec 2019)  | Community Manager at SA Autocredit (Jan 2017 to Dec 2019)  | Sales Manager at Spaceland (Jan 2017 to Dec 2017)  | Business Development Executive at Infotech Global Solutions (N/A to N/A),['none'],None,No,6.67
Candidate 9,Senior Recruiter at Specialized Bicycle Components None (Apr 2022 to Jun 2024),['none'],Master of Arts Irish Studies at University of Liverpool (Sep 2008 to Dec 2009)  | Bachelor of Arts History at University of Central Florida (Aug 2004 to Aug 2008),Yes,2.17
Candidate 10,Devops Engineer at Upstart Network (Jun 2022 to May 2024)  | Senior Engineer at Blue Cross Blue Shield of Massachusetts (Nov 2019 to Mar 2022)  | Internal Application Developer at Tracelink (Aug 2017 to Nov 2019)  | Advanced Consultant at OpenText Technologies (Mar 2014 to Aug 2014)  | Associate at Cognizant Technologies Solutions (Dec 2009 to Feb 2014),['none'],"Master of Science Information Systems at Northeastern University (Jan 2015 to Dec 2017)  | Bachelor of Engineering Computer Science and Engineering at University College of Engineering, Osmania University (Jan 2005 to Dec 2009)",Yes,11.08
Candidate 11,Developer at CRIA INCUBATOR (Jul 2023 to N/A)  | Developer at SANTANDER UNIVERSIDADE (Aug 2021 to Jun 2023)  | Professional Activities at Areal (Jan 2002 to N/A)  | Technical Consultant at Hvtec (N/A to N/A),['none'],H-Vtec Technical Consultant at São Paulo State University (Jan 2020 to Aug 2022),Yes,26.17
Candidate 12,Software Engineer at Cantera Digital (Mar 2024 to N/A)  | Software Engineer at Arkusnexus (Jan 2023 to Mar 2023)  | Software Engineer at Homie (Jan 2021 to Dec 2021)  | Software Engineer at InstaFit (Jan 2019 to Feb 2019),"['software development', 'ruby', 'postgresql', 'ruby on rails', 'front-end development', 'react.js']",Systems Engineering at Tecnológico de Estudios Superiores de Ecatepec (Feb 2009 to Aug 2009),No,1.92
Candidate 13,Backend Engineer at TechNerds (N/A to N/A)  | Full Stack Engineer at GreenPearls (N/A to N/A),['none'],Bachelor Computer Science at Institute of Management Sciences (Peshawar) (N/A to N/A),Yes,0.0
Candidate 14,Senior Full and Stack Blockchain Developer at Google (Jan 2018 to N/A)  | Stack Developer at Innovative Tech Solutions (Jun 2013 to Dec 2017)  | Web Developer at Tech Pioneers (Aug 2011 to May 2013),['none'],Bachelor of Science Computer Science at University of Florida (Aug 2007 to May 2011),Yes,13.17
Candidate 15,Senior Full and Stack Blockchain Developer at Google (Jan 2018 to N/A)  | Stack Developer at Innovative Tech Solutions (Jun 2013 to Dec 2017)  | Web Developer at Tech Pioneers (Aug 2011 to May 2013),['none'],Bachelor of Science Computer Science at University of Florida (Aug 2007 to May 2011),Yes,13.17
Candidate 16,Devops Engineer at FABIUS LABS (Oct 2021 to N/A)  | Devops Engineer at  (Jun 2017 to Aug 2021)  | Backend Developer at TOPTAL (Aug 2014 to Mar 2017),['none'],Master'S  at Florida International University (Jan 2009 to Dec 2014),Yes,9.92
Candidate 17,Senior Software Engineer Development Iii at LOCALIZA (Jan 2020 to N/A)  | Content Professor at GOVERNO DO ESTADO DO PARANÁ (Jan 2020 to Dec 2021)  | Chief Information Officer at INOLIVRY (Jan 2018 to Dec 2020)  | Software Architect at INTEGRAPIS START-UP (Jan 2017 to Dec 2019)  | Information Technology Infrastructure Analyst at USINA ALTO ALEGRE (Jan 2015 to Dec 2021)  | Partner at JC TECNOLOGIA DA INFORMAÇÃO (Jan 2011 to Dec 2015),"['amazon web services (aws)', 'sql']",Master of Business Administration Project Management at Centro de Inovação Vincit (N/A to N/A)  | Bachelor'S Information Technology and Management at Universidade Paulista (UNIP (N/A to Dec 2012)  | Master of Business Administration Architecture at Unylya (N/A to Dec 2018)  | Bachelor'S Systems Analysis and Development at UniCesumar (N/A to Dec 2018)  | Postgraduate Software Engineering at Centro de Inovação Vincit (N/A to Dec 2019),No,24.5
Candidate 18,Software Market Specialist at Slashdot Media (Sep 2023 to N/A)  | Client Success Executive at Ecom Health Center (Apr 2023 to Jul 2023)  | People Operations Coordinator at Wexpand (Jan 2023 to Feb 2023)  | Team Lead at CIENCE (May 2022 to Dec 2022)  | Sdr at CIENCE (Jun 2021 to May 2022)  | Apprentice Consultant and Marketing at CUE ITESO (Aug 2020 to May 2021)  | Owner at Freelance (Jul 2018 to Jan 2020)  | Customer Service Representative at Teleperformance (Jan 2015 to Jun 2015),['none'],French and Foreign Language at Alliance Française (Sep 2021 to Nov 2021)  |  Advertising at Pontifical Bolivarian University (Jan 2020 to Jan 2020)  |  Advertising and Public Relations at University of the Basque Country (Jan 2017 to Jan 2018)  |  Advertising and Communications at Western Institute of Technology and Higher Education (Aug 2015 to May 2021),No,5.75
Candidate 19,Sales Development Representative at RealityCreator.com (Mar 2024 to N/A)  | Team Lead at MADE OMNI (Jan 2022 to Mar 2024)  | Outreach Specialist at MADE OMNI (Sep 2021 to Jan 2022)  | Tutor at Self-employed (Jan 2019 to Aug 2021)  | English Teacher at Centro Electronico de Idiomas (Nov 2018 to Dec 2019),['none'],"Bachelor of Engineering Be, Ingeniería Civil at Rafael Urdaneta University (Jan 2017 to Jan 2024)",No,6.92
Candidate 20,Business Development Manager at WEPayments (Apr 2024 to N/A)  | Global Sales Development Representative at FacilitaPay (Jan 2023 to Apr 2024)  | Sales Development Representative at FaçaAgora! (Mar 2021 to Jan 2023)  | Diretor De Projetos at Campe Consultoria Jr. (Jul 2020 to Dec 2020)  | Gerente De Negócios at Campe Consultoria Jr. (Feb 2020 to Jul 2020)  | Gerente De Projetos at Campe Consultoria Jr. (Jan 2020 to Jul 2020)  | Bolsista De Iniciação Científica at Universidade Federal de Juiz de Fora (Aug 2019 to Feb 2020)  | Consultor De Projetos at Campe Consultoria Jr. (Aug 2019 to Jan 2020),['none'],"Economia, Gestão at Federal University of Juiz de Fora (Jan 2018 to Jan 2022)",No,6.0
Candidate 21,Sales Executive at Rubeus (Jan 2023 to N/A)  | Sales Development Representative at Rubeus (Aug 2022 to Dec 2022)  | Copywriter at Softaliza (Sep 2021 to Dec 2021)  | Marketing Analyst at Rubeus (Jul 2021 to Jul 2022)  | Marketing Intern at Rubeus (Dec 2020 to Jul 2021)  | President at In Bio - Empresa Júnior de Biologia (Mar 2019 to Mar 2020)  | Marketing Director at In Bio - Empresa Júnior de Biologia (Mar 2018 to Mar 2019),['none'],Bachelor Advertising and Marketing at Federal University of Minas Gerais (Jul 2021 to Jul 2025)  | Bachelor Biology at Federal University of Viçosa (Feb 2018 to Dec 2020)  | Technical Degree Information Technology at E. E. Dr. Olavo Tostes (Sep 2015 to Aug 2017)  | Bachelor International Business at Istanbul Commerce University (N/A to Mar 2024),No,6.08
Candidate 22,International Marketing Assistant at Influu (Jan 2022 to Dec 2022)  | Sales Development Representative at Agmov Industrial Supplies (Jan 2022 to Dec 2023)  |  at Universidade Metodista de São Paulo (Jan 2016 to Dec 2018)  |  at Negócios Internacionais e Comércio Exterior (Jan 2013 to Dec 2015),['none'],None,No,8.67
Candidate 23,Ambassador at EVOLVE Commerce Club (Apr 2024 to N/A)  | Community Manager at Kobe Apps (Jan 2024 to N/A)  | Business Analyst at Kobe Apps (Jan 2023 to Jan 2024)  | Sales Development Representative at Kobe Apps (Oct 2021 to Dec 2022)  | Business Development Representative at Tenex (Oct 2020 to Oct 2021)  | Sales Coordinator at AIESEC (Feb 2019 to Feb 2020)  | Sales Manager at AIESEC (Sep 2018 to Jan 2019),['none'],Bachelor & Bachelor of Law Law at Laureate Education (Jan 2018 to Dec 2022),No,6.08
Candidate 24,Head of Business Development at Guru Labs Software & Blockchain Solutions (Feb 2024 to N/A)  | Sales Development Representative at Solvo Global (May 2023 to Feb 2024)  | Sales Supervisor at Chevrolet (Jul 2019 to May 2023),['none'],Bachelor of Engineering Computer Engineering at National University of Córdoba (Jan 2016 to Jan 2019)  | Bachelor'S Natural Sciences at Accademia dei Lincei (N/A to N/A)  | Bachelor'S Computer Programming at National University of Córdoba (N/A to Jan 2021),No,5.42
Candidate 25,Latam Export Sales Executive at Superlon Worldwide Sdn. (Aug 2023 to Apr 2024)  | Sales Development Representative at Calyx (Feb 2022 to Jul 2023)  | Sales Development Representative at PMf Strategy (Feb 2022 to Jul 2023)  | Marketing Specialist at Chen Way Machinery Co. (Jun 2021 to Feb 2022)  | Technical Translator at OKIOLABS (Apr 2021 to N/A),['none'],Master of Business Administration Technology Management at National Tsing Hua University (Jan 2019 to Jan 2021),No,7.83
Candidate 26,Advisory Board at Apollo.io (May 2023 to N/A)  | Sales Development Representative at FullStack Labs (Aug 2022 to N/A)  | Business Development Representative at Lean Solutions Group (May 2021 to Aug 2022)  | Business Development Representative at Linkage Logistics (May 2021 to Aug 2022),['none'],Engineer'S Degree Ingeniería Mecánica at University of Antioquia (N/A to Jan 2019),No,6.42
Candidate 27,Sales Development Representative at CIENCE (Mar 2023 to Aug 2024)  | Marketing Manager at NeuroClic (Feb 2023 to N/A)  | Sales Development Representative at NeuroClic (Feb 2023 to N/A)  | Sales Development Representative at LOS ANDES ABERTURAS (Aug 2022 to Feb 2023)  | Human Resources Manager at Unplugged.Import (Mar 2020 to Aug 2022)  | Sales and Marketing Specialist at Unplugged.Import (Mar 2020 to Aug 2022)  | Inventory Control Specialist at Unplugged.Import (Mar 2020 to Aug 2022)  | Graphic Designer at Unplugged.Import (Mar 2020 to Aug 2022)  | Sales Manager at Unplugged.Import (Mar 2020 to Aug 2022)  | Community Manager at Unplugged.Import (Mar 2020 to Aug 2022),['none'],at Kin Zulfan (EG Method) (Dec 2023 to Jun 2034)  |  Technical Analysis at 1-1 Massi (Multi Time Frame Trader) (Nov 2023 to Dec 2024)  |  Technical Analysis at 1-1 Giovanni (Addition to decision levels of orange) (Oct 2023 to Dec 2023)  |  Technical Analysis at 1-1 ZLANK - MALAYSIAN SnR (Sep 2023 to Nov 2023)  |  Technical Analysis at 1-1 Orange Soldier (Decision level trader) (Sep 2023 to Nov 2023),No,20.08
